City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
atbasar,41,KZ,1573346683,85,51.81,68.36,11.53,11.5
ngunguru,93,NZ,1573346684,87,-35.62,174.5,69.01,15.99
dolinsk,40,RU,1573346684,70,47.32,142.8,32.0,2.24
tongchuan,0,CN,1573346684,93,34.9,108.95,42.8,6.71
laguna,75,BZ,1573346462,78,16.17,-88.94,82.4,4.7
praia,75,BR,1573346684,64,-20.25,-43.81,75.2,11.41
aguimes,75,ES,1573346684,60,27.91,-15.45,68.0,31.09
krasne,90,UA,1573346685,100,49.91,24.61,48.2,6.71
katsuura,40,JP,1573346685,54,33.93,134.5,59.0,13.87
hithadhoo,57,MV,1573346685,78,-0.6,73.08,80.96,8.5
iskitim,40,RU,1573346685,84,54.64,83.3,3.2,4.47
togul,100,RU,1573346685,68,53.47,85.91,21.76,6.62
launceston,90,AU,1573346432,44,-41.43,147.14,61.0,17.22
pacific grove,40,US,1573346494,77,36.62,-121.92,73.4,4.7
talnakh,98,RU,1573346449,75,69.49,88.39,-16.61,11.18
saint-augustin,90,CA,1573346679,64,45.63,-73.98,36.0,9.17
pampa,1,US,1573346686,46,35.54,-100.96,69.8,9.17
ostersund,100,SE,1573346686,85,63.18,14.64,16.0,9.17
pedasi,100,PA,1573346686,87,7.53,-80.03,79.75,10.78
de aar,98,ZA,1573346686,44,-30.65,24.01,62.94,16.8
murray bridge,38,AU,1573346686,54,-35.12,139.28,64.99,1.01
ornskoldsvik,100,SE,1573346686,78,63.29,18.72,23.0,12.75
port elizabeth,1,US,1573346687,63,39.31,-74.98,37.4,3.31
broken hill,0,AU,1573346687,44,-31.97,141.45,60.8,8.05
seoul,40,KR,1573346445,70,37.57,126.98,51.8,2.24
severnoye,100,RU,1573346687,82,54.09,52.54,27.93,3.31
lais,98,ID,1573346687,71,0.79,120.42,81.36,3.15
saint-pierre,67,FR,1573346687,93,48.95,4.24,39.99,12.75
hami,0,CN,1573346687,36,42.84,93.51,30.76,0.38
hambantota,40,LK,1573346632,100,6.12,81.12,73.4,1.12
yeniseysk,78,RU,1573346637,95,58.45,92.17,-6.43,5.59
salalah,40,OM,1573346391,74,17.01,54.1,78.8,2.24
mwinilunga,100,ZM,1573346688,88,-11.73,24.43,63.32,1.9
panambi,54,BR,1573346688,88,-28.29,-53.5,71.49,6.87
labuhan,99,ID,1573346688,83,-2.54,115.51,79.02,1.14
cabedelo,20,BR,1573346688,83,-6.97,-34.84,77.0,8.05
loei,64,TH,1573346689,100,17.49,101.72,60.8,2.24
ishigaki,75,JP,1573346689,68,24.34,124.16,71.6,5.82
totness,1,US,1573346689,86,33.74,-80.8,42.8,3.36
nuuk,100,GL,1573346689,49,64.17,-51.74,38.68,21.0
vardo,1,US,1573346459,51,39.62,-77.74,37.99,4.7
kudat,75,MY,1573346689,69,6.89,116.84,82.4,4.7
rio gallegos,0,AR,1573346689,52,-51.62,-69.22,42.8,23.04
ust-kan,100,RU,1573346690,94,50.93,84.77,22.78,2.84
aswan,0,EG,1573346394,35,24.09,32.9,73.4,3.36
beringovskiy,100,RU,1573346690,96,63.05,179.32,27.82,14.83
mogadishu,62,SO,1573346690,71,2.04,45.34,81.88,7.07
castro,100,CL,1573346395,93,-42.48,-73.76,51.8,5.82
sitka,0,US,1573346391,28,37.17,-99.65,57.0,1.99
manokwari,88,ID,1573346691,72,-0.87,134.08,79.7,4.59
banfora,0,BF,1573346691,58,10.64,-4.75,78.76,1.54
mugur-aksy,100,RU,1573346691,85,50.38,90.44,10.47,3.58
guarapari,40,BR,1573346691,78,-20.67,-40.5,78.8,11.41
hoquiam,90,US,1573346691,100,46.98,-123.89,52.0,3.36
kimberley,57,ZA,1573346691,44,-28.74,24.76,77.0,13.87
butaritari,77,KI,1573346624,63,3.07,172.79,84.25,1.5
kormilovka,0,RU,1573346691,84,55.0,74.1,6.8,4.47
ballina,8,IE,1573346692,88,54.11,-9.15,44.01,2.33
nago,0,IT,1573346445,93,45.88,10.89,46.99,4.7
victoria,75,BN,1573346437,83,5.28,115.24,78.8,3.36
touros,40,BR,1573346619,78,-5.2,-35.46,77.0,5.82
hamza,0,UZ,1573346692,74,40.42,71.51,35.6,2.24
makakilo city,1,US,1573346692,51,21.35,-158.09,84.2,6.93
mayskiy,90,RU,1573346692,93,43.63,44.06,44.6,0.96
cayenne,20,GF,1573346419,88,4.94,-52.33,80.6,5.82
kruisfontein,94,ZA,1573346476,82,-34.0,24.73,60.71,13.35
diffa,65,NE,1573346481,16,13.32,12.61,83.25,7.81
guamuchil,100,MX,1573346693,58,25.47,-108.1,86.0,5.99
lagoa,42,PT,1573346693,77,37.14,-8.45,59.0,6.93
dong hoi,65,VN,1573346465,92,17.48,106.6,63.52,5.75
gusau,3,NG,1573346693,26,12.17,6.66,78.35,6.2
catuday,100,PH,1573346693,74,16.29,119.81,81.32,4.7
beloha,86,MG,1573346693,84,-25.17,45.06,70.48,8.86
luderitz,0,NA,1573346427,87,-26.65,15.16,60.8,4.7
verkhoyansk,9,RU,1573346694,95,67.55,133.39,-23.72,1.1
muisne,85,EC,1573346694,88,0.61,-80.02,74.57,8.66
port lincoln,0,AU,1573346414,54,-34.72,135.86,61.43,6.42
aviemore,26,GB,1573346694,93,57.19,-3.83,41.0,2.24
mapiripan,63,CO,1573346694,83,2.89,-72.13,77.07,2.15
codrington,90,AU,1573346694,19,-28.95,153.24,75.99,6.93
guerrero negro,100,MX,1573346695,49,27.97,-114.04,75.02,11.81
fortuna,40,US,1573346429,93,40.6,-124.16,57.99,6.93
ostrovnoy,100,RU,1573346695,95,68.05,39.51,17.46,3.76
kolokani,57,ML,1573346695,29,13.58,-8.03,82.69,3.98
dwarka,0,IN,1573346695,63,28.58,77.04,77.0,4.36
noyabrsk,100,RU,1573346695,96,63.2,75.45,4.1,6.76
kamenka,35,MD,1573346695,90,48.03,28.7,57.0,8.99
leningradskiy,0,RU,1573346427,60,69.38,178.42,19.09,7.31
veshenskaya,0,RU,1573346696,90,49.63,41.73,40.77,8.81
colac,100,AU,1573346680,88,-38.34,143.59,61.0,1.99
lebu,90,ET,1573346696,61,8.96,38.73,52.02,0.81
saskylakh,100,RU,1573346696,97,71.97,114.09,0.43,5.48
karasjok,0,NO,1573346696,77,69.47,25.52,1.4,3.36
verkh-usugli,100,RU,1573346696,81,52.7,115.17,26.73,5.77
champasak,75,LA,1573346696,82,14.89,105.88,68.0,2.24
oxbow,90,CA,1573346697,79,49.23,-102.17,23.0,19.46
bowen,40,AU,1573346697,26,-20.01,148.25,88.0,19.46
suleja,100,NG,1573346697,78,9.18,7.18,75.2,3.36
dali,0,CN,1573346697,51,34.79,109.94,48.45,7.76
arman,100,RU,1573346697,84,59.7,150.17,21.18,16.46
monte santo,78,BR,1573346697,63,-10.44,-39.33,76.37,13.91
sao jose da coroa grande,98,BR,1573346698,79,-8.9,-35.15,79.29,12.28
norman wells,20,CA,1573346698,84,65.28,-126.83,-0.41,2.24
hirara,40,JP,1573346641,60,24.8,125.28,73.4,4.7
semey,90,KZ,1573346698,92,50.41,80.25,30.2,8.95
carutapera,100,BR,1573346698,78,-1.2,-46.02,81.95,13.56
irtyshskiy,47,RU,1573346698,89,58.33,68.13,11.68,4.09
barkhan,0,PK,1573346698,46,29.9,69.52,50.23,2.53
outjo,100,NA,1573346699,28,-20.11,16.16,71.6,11.03
provideniya,100,RU,1573346699,99,64.42,-173.23,34.61,2.44
maniitsoq,58,GL,1573346699,46,65.42,-52.9,35.56,21.77
asyut,0,EG,1573346699,48,27.18,31.19,63.9,12.53
roma,95,IT,1573346624,93,41.89,12.48,52.0,1.12
longyearbyen,40,NO,1573346699,79,78.22,15.63,24.8,12.75
airai,34,TL,1573346699,31,-8.93,125.41,81.34,6.93
nanortalik,100,GL,1573346699,77,60.14,-45.24,36.55,57.69
mehriz,35,IR,1573346700,45,31.58,54.44,44.6,2.82
ilulissat,100,GL,1573346433,29,69.22,-51.1,35.6,26.4
kokkola,90,FI,1573346700,92,63.84,23.13,28.99,10.29
luganville,40,VU,1573346700,70,-15.51,167.18,84.2,6.93
mahebourg,20,MU,1573346700,88,-20.41,57.7,70.0,4.7
tazovskiy,37,RU,1573346522,97,67.47,78.7,-8.7,8.95
luang prabang,75,LA,1573346700,100,19.89,102.14,64.4,2.24
hasaki,20,JP,1573346419,67,35.73,140.83,59.0,6.93
palkino,99,RU,1573346701,100,57.54,28.01,48.2,6.71
gopalpur,100,BD,1573346701,92,24.18,89.13,72.12,17.09
tual,100,ID,1573346465,75,-5.67,132.75,82.24,3.49
lavrentiya,100,RU,1573346701,97,65.58,-170.99,34.5,6.06
bosaso,0,SO,1573346457,71,11.28,49.18,81.01,14.18
paso de los toros,51,UY,1573346701,92,-32.81,-56.52,63.66,12.64
lubao,85,CD,1573346701,91,-5.39,25.75,69.91,1.97
port hardy,90,CA,1573346463,93,50.7,-127.42,50.0,1.5
zyryanka,100,RU,1573346702,93,65.73,150.89,-1.36,20.24
shu,100,KZ,1573346702,56,43.6,73.76,34.0,8.01
acapulco,5,MX,1573346702,83,16.86,-99.88,84.2,6.93
pitimbu,20,BR,1573346702,83,-7.47,-34.81,77.0,8.05
hofn,100,IS,1573346703,76,64.25,-15.21,45.7,27.58
pangoa,100,PE,1573346703,85,-12.12,-73.0,74.25,3.38
bayshore gardens,40,US,1573346703,73,27.43,-82.59,72.0,8.05
la ronge,75,CA,1573346446,66,55.1,-105.3,10.4,10.29
san vicente,75,EC,1573346703,83,-0.59,-80.41,73.4,10.29
nichinan,20,JP,1573346703,76,31.65,131.31,57.2,6.93
shimoda,20,JP,1573346703,59,34.7,138.93,62.6,16.11
kirkwood,75,ZA,1573346704,77,-33.4,25.44,66.2,18.34
kalmunai,97,LK,1573346704,82,7.42,81.82,79.29,7.27
rio grande,64,BR,1573346704,90,-32.03,-52.1,71.01,3.0
tahlequah,0,US,1573346704,71,35.92,-94.97,55.4,6.38
kuching,75,MY,1573346704,94,1.56,110.34,77.0,2.24
bereda,40,ES,1573346704,62,43.27,-7.54,55.0,11.41
kampot,20,KH,1573346704,83,10.62,104.18,77.0,2.24
meulaboh,78,ID,1573346705,77,4.14,96.13,81.0,6.24
boende,0,CD,1573346705,90,-0.28,20.88,70.77,2.21
aquiraz,20,BR,1573346705,78,-3.9,-38.39,86.0,12.75
etchoropo,100,MX,1573346705,58,26.77,-109.67,84.99,5.01
san quintin,77,PH,1573346705,83,17.54,120.52,76.93,3.76
georgetown,40,GY,1573346670,83,6.8,-58.16,82.4,9.17
verkhnetulomskiy,40,RU,1573346705,68,68.61,31.8,-14.81,1.54
bakchar,0,RU,1573346706,74,57.02,82.07,10.33,3.58
leo,0,BF,1573346706,39,11.1,-2.1,80.31,4.76
alta floresta,100,BR,1573346706,97,-9.87,-56.08,71.87,6.82
comodoro rivadavia,19,AR,1573346460,70,-45.87,-67.48,48.2,10.29
tsabong,35,BW,1573346706,13,-26.02,22.4,72.37,13.51
coari,86,BR,1573346706,66,-4.09,-63.14,81.39,3.44
akureyri,100,IS,1573346707,86,65.68,-18.09,30.2,19.46
ribeira grande,2,PT,1573346707,77,38.52,-28.7,61.92,6.49
sawakin,0,SD,1573346707,67,19.1,37.33,85.32,5.48
tevaitoa,100,PF,1573346707,81,-16.78,-151.5,80.38,19.1
povenets,100,RU,1573346707,98,62.85,34.83,34.32,5.03
montepuez,38,MZ,1573346707,84,-13.13,39.0,73.13,5.03
lugovskoy,20,RU,1573346707,85,56.96,64.53,12.2,11.18
kungurtug,99,RU,1573346453,81,50.6,97.53,17.29,1.28
pangnirtung,100,CA,1573346708,68,66.15,-65.72,20.75,6.93
esperance,78,AU,1573346708,42,-33.86,121.89,87.8,20.8
marsa matruh,50,EG,1573346487,64,31.35,27.25,75.11,9.69
sioux lookout,75,CA,1573346708,73,50.1,-91.92,23.0,8.05
polunochnoye,12,RU,1573346483,84,60.87,60.43,4.53,2.28
opuwo,100,NA,1573346708,62,-18.06,13.84,69.8,0.69
haines junction,0,CA,1573346709,93,60.75,-137.51,1.29,6.33
lafayette,1,US,1573346709,50,30.22,-92.02,53.6,3.36
grindavik,75,IS,1573346501,86,63.84,-22.43,41.0,8.05
ocampo,93,MX,1573346709,76,27.32,-102.4,61.07,6.73
sistranda,20,NO,1573346709,85,63.73,8.83,24.01,6.93
calmatuiu,40,RO,1573346709,93,43.97,24.87,48.2,7.61
nyurba,99,RU,1573346710,94,63.29,118.35,12.63,5.17
grand gaube,20,MU,1573346448,88,-20.01,57.66,70.0,4.7
hirado,20,JP,1573346710,55,33.32,129.49,66.0,4.7
krasnoarmeysk,90,RU,1573346710,100,56.12,38.15,41.0,8.95
sinnamary,34,GF,1573346468,84,5.38,-52.96,81.82,11.61
raichur,13,IN,1573346710,83,16.2,77.36,72.57,6.82
nova olimpia,67,BR,1573346710,81,-14.8,-57.29,73.85,2.06
taoudenni,25,ML,1573346711,21,22.68,-3.98,68.88,8.9
miri,100,NG,1573346711,42,10.31,9.75,77.79,3.65
puri,0,ID,1573346711,67,-7.54,112.45,82.15,0.94
garca,90,BR,1573346711,78,-22.21,-49.66,78.8,4.7
alice springs,0,AU,1573346711,14,-23.7,133.88,75.2,13.87
parana,92,BR,1573346711,66,-7.52,-72.89,80.98,1.39
aklavik,20,CA,1573346477,65,68.22,-135.01,6.8,9.17
ambilobe,49,MG,1573346711,76,-13.19,49.05,75.99,8.68
brae,11,GB,1573346435,63,60.4,-1.35,42.8,10.29
general pico,8,AR,1573346712,65,-35.66,-63.75,68.0,4.81
ponta delgada,20,PT,1573346712,87,37.73,-25.67,60.8,5.82
rivne,80,UA,1573346712,10,50.62,26.25,51.01,7.25
castillo,100,PH,1573346712,98,16.36,120.91,65.08,2.24
bara,100,NG,1573346712,43,10.41,10.6,79.05,3.71
hisua,83,IN,1573346712,84,24.84,85.42,71.35,2.59
corn island,100,NI,1573346712,80,12.17,-83.04,82.65,14.03
egvekinot,0,RU,1573346451,83,66.32,-179.17,15.37,3.22
shingu,20,JP,1573346713,62,33.72,135.99,59.0,5.82
sao felix do xingu,100,BR,1573346713,84,-6.64,-51.99,76.01,1.92
toktogul,29,KG,1573346713,68,41.87,72.95,28.99,3.87
preobrazheniye,7,RU,1573346713,40,42.9,133.91,36.07,4.18
yumen,0,CN,1573346713,38,40.29,97.04,30.15,10.65
tinqueux,20,FR,1573346714,91,49.25,3.99,39.99,6.93
nemuro,20,JP,1573346714,55,43.32,145.57,39.2,6.93
millbrook,1,US,1573346714,93,32.48,-86.36,50.0,0.98
swan river,100,CA,1573346714,80,52.11,-101.27,12.99,9.69
bud,0,NO,1573346714,68,62.91,6.91,28.4,9.17
iwanai,51,JP,1573346714,60,42.97,140.51,37.49,11.32
north bend,1,US,1573346714,76,43.41,-124.22,54.0,2.77
vysokogornyy,15,RU,1573346714,77,50.1,139.13,11.08,2.48
bayonet point,1,US,1573346607,72,28.33,-82.68,71.6,6.93
novo aripuana,43,BR,1573346715,81,-5.12,-60.38,78.03,3.13
iisalmi,90,FI,1573346715,100,63.56,27.19,33.8,4.7
lazaro cardenas,40,MX,1573346715,63,28.39,-105.62,66.2,8.05
monterey,40,US,1573346715,77,36.6,-121.89,73.4,4.7
santiago de chuco,84,PE,1573346715,90,-8.15,-78.17,48.2,5.32
gainesville,75,US,1573346507,87,29.65,-82.33,60.01,5.82
huron,90,US,1573346480,80,44.36,-98.21,46.4,8.05
baihar,2,IN,1573346716,95,22.11,80.55,63.93,2.71
vestmannaeyjar,87,IS,1573346650,82,63.44,-20.27,44.42,16.6
half moon bay,20,US,1573346716,71,37.46,-122.43,72.0,18.34
riyadh,59,SA,1573346440,46,24.63,46.72,69.8,2.24
tenenkou,66,ML,1573346716,25,14.46,-4.91,90.73,6.06
gboko,85,NG,1573346716,59,7.32,9.0,81.12,4.07
vila franca do campo,20,PT,1573346716,87,37.72,-25.43,60.8,5.82
pangkalanbuun,60,ID,1573346716,75,-2.68,111.62,81.0,1.19
vakhrushev,9,RU,1573346717,62,48.99,142.86,26.15,8.19
mandapam,29,IN,1573346717,79,9.28,79.12,81.54,9.08
perehonivka,40,UA,1573346717,100,49.98,30.49,54.0,6.71
bambanglipuro,31,ID,1573346717,73,-7.95,110.28,79.72,3.36
campoverde,75,EC,1573346717,87,-0.91,-78.62,51.8,6.93
okhotsk,23,RU,1573346717,72,59.36,143.24,8.04,18.72
yeppoon,0,AU,1573346717,7,-23.13,150.74,84.2,6.93
sorland,0,NO,1573346717,64,67.67,12.69,32.97,16.62
